# id: ffr_5k_01
# name: Faster Road Racing: 5K Schedule 1
# description: "5K Schedule 1: 30 to 40 Miles (48-63 km) per Week" from "Faster Road Racing: 5K to Half Marathon" by Pete D. Pfitzinger and Philip Latter. "This schedule is for runners who have been training 25 to 35 miles per week. If you have been running fewer than 25 miles per week, you should follow the training schedule for building up to 30 miles per week outlined in chapter 8 before attempting this schedule. The schedule starts at 30 miles per week and gradually builds up to 40 miles with three weeks to go before your goal race. The training then tapers so you are fit and refreshed for race day."
# units: mi
# source: https://www.amazon.com/Faster-Road-Racing-Half-Marathon/dp/1450470459
# type: 5K
# updated: 20201026
# Week 1
"Rest or cross-training","",0
"General aerobic + speed\n{6:10}","6 × 12 sec uphill followed by 6 × 100 m strides",6
"Endurance\n{8:13}","",8
"Rest or cross-training","",0
"Lactate threshold\n{7:11}","4 × 6 min LT intervals\n(jog 2 min recovery)",7
"Rest or cross-training","",0
"Endurance\n{9:14}","",9
# Week 2
"Rest or cross-training","",0
"General aerobic + speed\n{5:8}","6 × 12 sec uphill followed by 6 × 100 m strides",5
"Endurance\n{8:13}","",8
"Rest or cross-training","",0
"V·O2 max\n{7:11}","5 × 3 min uphill @ 3K-5K race effort\n(jog downhill recovery)",7
"Recovery\n{3:5}","",3
"Endurance\n{9:14}","",9
# Week 3
"Rest or cross-training","",0
"Speed\n{5:8}","2 sets of 3 × 300 m @ 800 m to mile race pace\n(jog 300 m recovery and 4 min between sets)",5
"Endurance\n{8:13}","",8
"Rest or cross-training","",0
"Lactate threshold\n{8:13}","3 × 8 min LT intervals\n(jog 3 min recovery)",8
"Recovery\n{3:5}","",3
"Endurance\n{10:16}","",10
# Week 4
"Rest or cross-training","",0
"Speed\n{6:10}","2 sets of 4 × 200 m @ 800 m to mile race pace\n(jog 200 m recovery and 4 min between sets)",6
"General aerobic\n{7:11}","",7
"Rest or cross-training","",0
"General aerobic\n{6:10}","",6
"Recovery\n{3:5}","",3
"General aerobic\n{8:13}","",8
# Week 5
"Rest or cross-training","",0
"General aerobic + speed\n{7:11}","6 × 12 sec uphill followed by 6 × 100 m strides",7
"Endurance\n{8:13}","",8
"Rest or cross-training","",0
"VO₂max\n{8:13}","5 × 1,000 m @ 3K-5K race pace\n(jog 50-90% interval time recovery)",8
"Recovery\n{3:5}","",3
"Endurance\n{10:16}","",10
# Week 6
"Rest or cross-training","",0
"Lactate threshold\n{7:11}","20 min tempo run",7
"Endurance\n{8:13}","",8
"Rest or cross-training","",0
"VO₂max\n{8:13}","8 × 600 m @ 3K-5K race pace\n(jog 50-90% interval time recovery)",8
"Recovery\n{4:6}","",4
"Endurance\n{10:16}","",10
# Week 7
"Rest or cross-training","",0
"General aerobic + speed\n{7:11}","2 sets of 6 × 100 m strides\n(jog 3 min between sets)",7
"Endurance\n{8:13}","",8
"Rest or cross-training","",0
"VO₂max\n{9:14}","3 × 1,000 m\n3 × 800 m\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)",9
"Recovery\n{4:6}","",4,6
"Endurance\n{10:16}","",10
# Week 8
"Rest or cross-training","",0
"General aerobic + speed\n{7:11}","2 sets of 4 × 150 m strides\n(jog 250 m recovery and 4 min between sets)",7
"General aerobic\n{7:11}","",7
"Rest","",0
"Recovery\n{3:5}","",3
"5K tune-up race\n{8:13}","",8
"Endurance\n{8:13}","",8
# Week 9
"Rest or cross-training","",0
"General aerobic + speed\n{8:13}","2 sets of 5 × 100 m strides\n(jog 3 min between sets)",8
"Endurance\n{9:14}","",9
"Rest or cross-training","",0
"VO₂max\n{9:14}","2 sets of (1,200 m, 800 m, 800 m)\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)",9
"Recovery\n{4:6}","",4,6
"Endurance\n{10:16}","",10
# Week 10
"Rest or cross-training","",0
"General aerobic + speed\n{7:11}","2 sets of 4 × 150 m strides\n(jog 250 m recovery and 4 min between sets)",7,11
"General aerobic\n{7:11}","",7,11
"Rest","",0
"Recovery\n{3:5}","",3,5
"5K tune-up race or 3K time trial\n{8:13}","",8
"Endurance\n{8:13}","",8
# Week 11
"Rest or cross-training","",0
"General aerobic + speed\n{6:10}","8 × 100 m strides",6
"Recovery\n{4:6}","",4
"VO₂max\n{8:13}","4 × 800 m\n2 × 600 m\nAll intervals @ 3K-5K race pace\n(jog 50-90% interval time recovery)",8
"Rest or cross-training","",0
"Recovery\n{4:6}","",4
"General aerobic\n{7:11}","",7
# Week 12
"Race pace + speed\n{6:10}","4 × 100 m strides\n800 m @ 5K race pace",6
"Recovery\n{3:5}","",3
"Recovery\n{4:6}","",4
"Rest","",0
"Recovery\n{3:5}","4 × 100 m strides",3
"5K goal race\n{9:14}","",9
"Recovery\n{4:6}","",4
# Week 13
"Rest or cross-training","",0
"Recovery\n{5:8}","",5
"Recovery\n{5:8}","",5
"Recovery\n{6:10}","",6
"Rest or cross-training","",0
"General aerobic + speed\n{7:11}","8 × 100 m strides",7
"General aerobic\n{8:13}","",8
